id,location
0,Maldives
1,South Korea
2,Cambodia
3,Singapore
4,Japan
5,Vietnam
6,Japan
7,Nepal
8,China
9,Japan
10,Indonesia
11,India
12,North Korea
13,Singapore
14,Japan
15,Laos
16,Singapore
17,Bhutan
18,South Korea
19,North Korea
20,Singapore
21,North Korea
22,Nepal
23,South Korea
24,Philippines
25,India
26,North Korea
27,China
28,Malaysia
29,India
30,China
31,Mongolia
32,Vietnam
33,Pakistan
34,Bhutan
35,Maldives
36,Maldives
37,Laos
38,Thailand
39,China
40,North Korea
41,Vietnam
42,Thailand
43,Thailand
44,Nepal
45,Pakistan
46,Thailand
47,China
48,Singapore
49,Bangladesh
50,North Korea
51,Mongolia
52,China
53,Philippines
54,Sri Lanka
55,Malaysia
56,Vietnam
57,Pakistan
58,Sri Lanka
59,Malaysia
60,Philippines
61,Indonesia
62,China
63,Mongolia
64,China
65,Maldives
66,Vietnam
67,Malaysia
68,Vietnam
69,Laos
70,Bangladesh
71,Malaysia
72,Bhutan
73,North Korea
74,Vietnam
75,Bangladesh
76,Laos
77,Singapore
78,Bhutan
79,Nepal
80,Japan
81,Maldives
82,Myanmar
83,Malaysia
84,Indonesia
85,Thailand
86,Maldives
87,North Korea
88,Bhutan
89,Malaysia
90,North Korea
91,Maldives
92,North Korea
93,North Korea
94,Japan
95,Bhutan
96,South Korea
97,Maldives
98,Cambodia
99,Laos
100,Cambodia
101,Thailand
102,South Korea
103,Mongolia
104,South Korea
105,Philippines
106,Maldives
107,Malaysia
108,Japan
109,Indonesia
110,Sri Lanka
111,India
112,Singapore
113,South Korea
114,Maldives
115,Maldives
116,Sri Lanka
117,Vietnam
118,Sri Lanka
119,China
120,Bhutan
121,Pakistan
122,India
123,China
124,Laos
125,Mongolia
126,Laos
127,North Korea
128,India
129,Myanmar
130,Bangladesh
131,North Korea
132,North Korea
133,India
134,Bhutan
135,Nepal
136,North Korea
137,Bangladesh
138,Cambodia
139,Maldives
140,Malaysia
141,Philippines
142,Cambodia
143,North Korea
144,Bangladesh
145,Sri Lanka
146,China
147,Philippines
148,Laos
149,Singapore
150,Cambodia
151,Bhutan
152,Sri Lanka
153,Japan
154,North Korea
155,South Korea
156,Bhutan
157,Laos
158,India
159,China
160,North Korea
161,Vietnam
162,North Korea
163,Japan
164,Indonesia
165,Bangladesh
166,Indonesia
167,Philippines
168,Mongolia
169,Cambodia
170,Indonesia
171,North Korea
172,Japan
173,Nepal
174,Indonesia
175,Bhutan
176,Malaysia
177,Indonesia
178,Thailand
179,Malaysia
180,Thailand
181,Singapore
182,Singapore
183,Indonesia
184,China
185,Thailand
186,Thailand
187,Pakistan
188,Sri Lanka
189,Nepal
190,Philippines
191,Philippines
192,Bhutan
193,Myanmar
194,Singapore
195,Singapore
196,Vietnam
197,Maldives
198,Cambodia
199,Japan
200,Indonesia
201,Thailand
202,Bangladesh
203,Maldives
204,Bhutan
205,Bhutan
206,Laos
207,Indonesia
208,China
209,Mongolia
210,Nepal
211,Bangladesh
212,North Korea
213,Pakistan
214,Sri Lanka
215,Mongolia
216,Laos
217,Philippines
218,Bhutan
219,Malaysia
220,Vietnam
221,Nepal
222,Bhutan
223,Singapore
224,Laos
225,Indonesia
226,Pakistan
227,North Korea
228,Pakistan
229,Maldives
230,Philippines
231,Nepal
232,Indonesia
233,Laos
234,Indonesia
235,Bangladesh
236,Laos
237,Indonesia
238,South Korea
239,Thailand
240,Philippines
241,Singapore
242,Bangladesh
243,Singapore
244,Indonesia
245,Pakistan
246,Bhutan
247,India
248,Philippines
249,Sri Lanka
250,Philippines
251,Cambodia
252,Maldives
253,Myanmar
254,Vietnam
255,Mongolia
256,Vietnam
257,Vietnam
258,Mongolia
259,China
260,Sri Lanka
261,Maldives
262,Maldives
263,Myanmar
264,Laos
265,North Korea
266,Philippines
267,Thailand
268,Maldives
269,Mongolia
270,North Korea
271,Nepal
272,Philippines
273,Myanmar
274,Singapore
275,Myanmar
276,Maldives
277,Myanmar
278,Japan
279,Pakistan
280,Pakistan
281,Philippines
282,Myanmar
283,South Korea
284,South Korea
285,Nepal
286,Japan
287,North Korea
288,Laos
289,Mongolia
290,Indonesia
291,Cambodia
292,Mongolia
293,China
294,Bhutan
295,Philippines
296,Malaysia
297,South Korea
298,Indonesia
299,Japan
300,Pakistan
301,Japan
302,Cambodia
303,Japan
304,Singapore
305,Indonesia
306,Philippines
307,Sri Lanka
308,Singapore
309,Vietnam
310,Bangladesh
311,Laos
312,Japan
313,Bhutan
314,India
315,Maldives
316,Singapore
317,Myanmar
318,Thailand
319,Myanmar
320,Bhutan
321,Sri Lanka
322,Philippines
323,Laos
324,North Korea
325,Nepal
326,Laos
327,Mongolia
328,Malaysia
329,Nepal
330,Myanmar
331,China
332,Malaysia
333,Cambodia
334,Malaysia
335,Bhutan
336,India
337,Vietnam
338,Japan
339,Japan
340,South Korea
341,Indonesia
342,Bangladesh
343,Sri Lanka
344,Sri Lanka
345,Malaysia
346,South Korea
347,Maldives
348,Pakistan
349,Bhutan
350,Nepal
351,North Korea
352,North Korea
353,China
354,North Korea
355,Cambodia
356,Mongolia
357,Pakistan
358,Thailand
359,Indonesia
360,Nepal
361,Philippines
362,Japan
363,Laos
364,North Korea
365,India
366,China
367,North Korea
368,China
369,Laos
370,China
371,Bhutan
372,Maldives
373,South Korea
374,Sri Lanka
375,Myanmar
376,North Korea
377,Laos
378,Thailand
379,Thailand
380,Bhutan
381,Maldives
382,Myanmar
383,Thailand
384,Indonesia
385,North Korea
386,China
387,Laos
388,Singapore
389,Pakistan
390,India
391,Vietnam
392,Cambodia
393,Vietnam
394,Vietnam
395,Sri Lanka
396,South Korea
397,Malaysia
398,Malaysia
399,Indonesia
400,Mongolia
401,Singapore
402,Malaysia
403,Sri Lanka
404,Maldives
405,Malaysia
406,North Korea
407,South Korea
408,Laos
409,Indonesia
410,Indonesia
411,Laos
412,Singapore
413,Nepal
414,Pakistan
415,Malaysia
416,Maldives
417,Laos
418,Nepal
419,Philippines
420,Sri Lanka
421,Maldives
422,Thailand
423,China
424,Bhutan
425,China
426,Japan
427,Malaysia
428,Vietnam
429,Philippines
430,Laos
431,Vietnam
432,Bangladesh
433,Cambodia
434,Bangladesh
435,India
436,Myanmar
437,Philippines
438,Cambodia
439,Laos
440,North Korea
441,China
442,Malaysia
443,Sri Lanka
444,Myanmar
445,Cambodia
446,India
447,Thailand
448,South Korea
449,Maldives
450,Sri Lanka
451,Singapore
452,Thailand
453,Thailand
454,Maldives
455,Thailand
456,Bhutan
457,Sri Lanka
458,Philippines
459,Sri Lanka
460,Maldives
461,Sri Lanka
462,Thailand
463,Philippines
464,China
465,Pakistan
466,Sri Lanka
467,Thailand
468,Sri Lanka
469,Cambodia
470,North Korea
471,Malaysia
472,Nepal
473,Thailand
474,Cambodia
475,Pakistan
476,Singapore
477,India
478,Thailand
479,Mongolia
480,Bangladesh
481,India
482,Sri Lanka
483,Japan
484,Philippines
485,Maldives
486,Laos
487,Philippines
488,Thailand
489,Sri Lanka
490,Maldives
491,Nepal
492,China
493,Thailand
494,Pakistan
495,Vietnam
496,Nepal
497,Cambodia
498,Cambodia
499,Pakistan
500,Singapore
501,Bhutan
502,Pakistan
503,Nepal
504,Thailand
505,Laos
506,Indonesia
507,Thailand
508,Bhutan
509,Bhutan
510,Myanmar
511,Malaysia
512,Cambodia
513,Pakistan
514,Bangladesh
515,Bangladesh
516,Pakistan
517,Myanmar
518,Singapore
519,Mongolia
520,Thailand
521,Bangladesh
522,North Korea
523,Singapore
524,Japan
525,China
526,Malaysia
527,Sri Lanka
528,Vietnam
529,Myanmar
530,Indonesia
531,Indonesia
532,Bhutan
533,South Korea
534,China
535,Laos
536,Myanmar
537,Malaysia
538,Malaysia
539,Japan
540,Maldives
541,North Korea
542,North Korea
543,Mongolia
544,China
545,South Korea
546,Japan
547,Cambodia
548,Philippines
549,Vietnam
550,Vietnam
551,Philippines
552,South Korea
553,Myanmar
554,India
555,China
556,Cambodia
557,Laos
558,Maldives
559,India
560,China
561,Indonesia
562,Vietnam
563,South Korea
564,Bhutan
565,Philippines
566,India
567,Mongolia
568,Sri Lanka
569,Japan
570,Thailand
571,Singapore
572,Maldives
573,Mongolia
574,Laos
575,Nepal
576,Pakistan
577,Maldives
578,South Korea
579,Malaysia
580,South Korea
581,North Korea
582,China
583,Myanmar
584,Malaysia
585,Philippines
586,Mongolia
587,Nepal
588,Philippines
589,Cambodia
590,China
591,Philippines
592,Sri Lanka
593,Sri Lanka
594,Pakistan
595,Japan
596,Sri Lanka
597,China
598,Indonesia
599,Singapore
600,Bhutan
601,Nepal
602,Thailand
603,Japan
604,Myanmar
605,Malaysia
606,Maldives
607,India
608,Thailand
609,Malaysia
610,Myanmar
611,Mongolia
612,Bangladesh
613,Philippines
614,Philippines
615,Laos
616,Philippines
617,Malaysia
618,Malaysia
619,India
620,Pakistan
621,Nepal
622,Cambodia
623,Japan
624,Japan
625,Singapore
626,North Korea
627,Sri Lanka
628,Bangladesh
629,Maldives
630,Mongolia
631,Vietnam
632,Myanmar
633,Bhutan
634,Indonesia
635,Vietnam
636,Sri Lanka
637,North Korea
638,Pakistan
639,Laos
640,Malaysia
641,Vietnam
642,Indonesia
643,Malaysia
644,Bhutan
645,China
646,North Korea
647,Mongolia
648,Bhutan
649,Thailand
650,Thailand
651,Cambodia
652,Mongolia
653,Bangladesh
654,Thailand
655,Bangladesh
656,Sri Lanka
657,Indonesia
658,Japan
659,Malaysia
660,Bangladesh
661,Laos
662,Pakistan
663,Philippines
664,Japan
665,Malaysia
666,Bangladesh
667,South Korea
668,Sri Lanka
669,Vietnam
670,China
671,Myanmar
672,India
673,China
674,South Korea
675,South Korea
676,Indonesia
677,Mongolia
678,Singapore
679,South Korea
680,China
681,Vietnam
682,Japan
683,Vietnam
684,Philippines
685,Malaysia
686,India
687,India
688,Laos
689,Thailand
690,Sri Lanka
691,Nepal
692,Nepal
693,Nepal
694,Myanmar
695,Malaysia
696,Bangladesh
697,Philippines
698,Pakistan
699,Laos
700,Philippines
701,Pakistan
702,Bhutan
703,Thailand
704,Japan
705,Sri Lanka
706,Vietnam
707,Philippines
708,Japan
709,Malaysia
710,Japan
711,Malaysia
712,South Korea
713,China
714,China
715,Singapore
716,Bangladesh
717,Malaysia
718,Cambodia
719,Nepal
720,Nepal
721,Bhutan
722,South Korea
723,North Korea
724,Vietnam
725,Maldives
726,Indonesia
727,China
728,South Korea
729,Singapore
730,South Korea
731,Japan
732,South Korea
733,Mongolia
734,Myanmar
735,Sri Lanka
736,Bangladesh
737,Sri Lanka
738,South Korea
739,North Korea
740,Malaysia
741,Cambodia
742,South Korea
743,Mongolia
744,Sri Lanka
745,Bhutan
746,Mongolia
747,Thailand
748,South Korea
749,Indonesia
750,Sri Lanka
751,South Korea
752,India
753,Japan
754,South Korea
755,China
756,Singapore
757,Cambodia
758,Bhutan
759,Bangladesh
760,Bangladesh
761,South Korea
762,Maldives
763,China
764,Thailand
765,Nepal
766,Sri Lanka
767,Philippines
768,Bhutan
769,Pakistan
770,Laos
771,Malaysia
772,China
773,Japan
774,South Korea
775,Bangladesh
776,South Korea
777,South Korea
778,Indonesia
779,Laos
780,China
781,India
782,India
783,Mongolia
784,Philippines
785,Singapore
786,Indonesia
787,Mongolia
788,Pakistan
789,Malaysia
790,India
791,India
792,China
793,South Korea
794,Pakistan
795,Malaysia
796,Japan
797,Thailand
798,Laos
799,Vietnam
800,Malaysia
801,Sri Lanka
802,Laos
803,Bhutan
804,Laos
805,Sri Lanka
806,Japan
807,Thailand
808,South Korea
809,China
810,India
811,Nepal
812,Vietnam
813,Pakistan
814,Indonesia
815,India
816,Cambodia
817,Japan
818,Cambodia
819,Philippines
820,Bhutan
821,Indonesia
822,Vietnam
823,Nepal
824,India
825,Nepal
826,Bhutan
827,Sri Lanka
828,Thailand
829,Thailand
830,China
831,Pakistan
832,Pakistan
833,Laos
834,Thailand
835,Cambodia
836,Maldives
837,South Korea
838,Bhutan
839,Maldives
840,Malaysia
841,Nepal
842,South Korea
843,Thailand
844,Thailand
845,Malaysia
846,Laos
847,South Korea
848,Bhutan
849,Philippines
850,Philippines
851,Myanmar
852,Bhutan
853,Singapore
854,Philippines
855,Bhutan
856,Cambodia
857,Indonesia
858,Vietnam
859,Thailand
860,Myanmar
861,Bangladesh
862,Maldives
863,Japan
864,Laos
865,China
866,Pakistan
867,Vietnam
868,Japan
869,Sri Lanka
